?cls	?xref
<http://purl.obolibrary.org/obo/WBls_0000725>	"OPL:0000172"
<http://purl.obolibrary.org/obo/WBls_0000724>	"OPL:0000017"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788855"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"MA:0000001"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TAO:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AAO:0010841"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"HAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"ZFA:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"FMA:62955"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"WBbt:0000100"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"UMLS:C1515976"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TGMA:0001822"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BFO:0000004"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BILA:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AEO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"NCIT:C12219"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"XAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"EHDAA2:0002229"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"CARO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BIRNLEX:6"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
